,,mitubati555,kumiko0402,matosa3,toge7188,fumygo,rag_55,yutapon1967,minshle,yoimachigusa,a0508,Weetabix,ma20020607 ,from201905,とんとん囃�,Ralphy,itu1,mirin036,perimakko37,ISHICN,ranbt2943,adagietto,kamihamuroabu,109960,mikalemon,sr15,daizu810,摩天楼さ�,soshisoyamama,heidi1001,rssk,����N
Q53_3,3,4,3,4,5,5,4,4,2,6,4,3,4,3,4,5,3,4,3,5,3,4,4,4,5,5,5,4,5,3,4,4
Q54_3,3,4,4,4,5,5,2,3,2,5,4,4,3,4,3,4,3,3,3,4,3,5,4,4,5,2,2,3,5,5,3,3
Q55_3,3,4,3,3,5,6,3,4,3,6,4,3,4,5,4,3,5,6,2,5,3,4,3,5,6,6,6,4,5,5,3,2
Q56_3,3,3,3,4,5,5,4,3,2,4,4,2,3,3,3,7,2,3,2,5,3,3,2,4,4,4,4,3,5,4,3,2
Q57_3,4,5,5,5,6,6,4,4,5,6,4,6,5,5,4,4,4,5,5,4,3,5,5,4,7,4,5,5,5,5,1,3
Q58_3,3,3,4,4,5,5,3,4,3,5,3,2,2,4,4,2,3,2,3,5,4,4,3,4,5,4,5,4,3,2,4,3
Q59_3,3,3,4,4,5,6,3,3,3,5,4,1,3,4,5,5,3,4,3,5,4,4,3,5,5,4,6,5,5,4,2,4
Q60_3,3,3,4,4,5,6,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,3,3,4,6,4,6,4,4,4,1,3
Q61_3,3,3,5,3,4,5,3,3,3,3,4,5,3,4,3,4,3,3,2,4,4,4,4,4,4,4,2,4,3,4,3,2
Q62_3,3,2,5,4,4,5,4,3,3,5,4,5,4,4,3,2,5,5,3,4,3,5,3,4,4,4,3,3,4,4,2,2
Q63_3,4,4,6,3,3,4,4,3,4,5,5,6,5,4,4,3,5,5,3,5,3,4,6,5,3,3,5,4,5,3,3,4
Q64_3,3,2,4,2,3,5,4,4,5,5,4,6,4,4,3,3,3,4,1,4,4,3,5,5,4,4,3,5,2,4,1,2
Q65_3,2,3,5,3,4,4,2,5,2,3,4,3,2,3,3,4,1,2,3,4,4,3,4,4,4,3,3,3,5,2,2,3
Q66_3,3,2,3,4,2,5,4,3,5,4,3,3,4,4,4,4,3,4,2,4,3,4,4,4,4,4,4,4,3,4,1,3
Q67_3,3,2,2,4,3,5,4,3,5,4,4,6,4,4,3,3,4,3,3,4,4,4,5,4,4,4,5,5,4,4,1,3
Q68_3,2,2,4,4,2,4,4,3,4,4,3,2,4,3,3,1,5,1,1,4,3,3,3,3,3,2,6,4,2,3,1,1
Q69_3,3,1,5,3,3,4,4,2,2,3,4,6,2,3,3,3,5,3,2,4,3,4,4,4,4,3,6,5,3,4,1,2
Q70_3,3,3,2,3,2,5,4,4,6,4,4,5,4,4,3,3,3,5,3,3,3,4,5,4,4,3,5,4,3,2,1,2
Q71_3,3,3,5,5,3,5,4,4,5,4,4,6,4,4,5,3,5,3,5,4,3,4,5,6,4,6,4,3,3,5,3,1
Q72_3,3,3,4,3,3,4,4,2,3,3,4,6,2,4,2,4,4,4,1,4,1,4,4,5,3,2,3,3,3,2,1,2
Q73_3,3,4,5,3,4,5,4,4,3,5,3,3,4,4,4,4,2,4,2,4,4,3,4,4,5,5,3,4,4,4,2,2
Q74_3,3,2,3,3,2,3,4,4,3,2,4,4,4,4,4,3,3,2,1,4,3,3,3,4,4,3,2,3,3,1,1,1
Q75_3,3,3,4,3,4,5,3,4,2,4,4,2,3,3,2,2,3,3,3,4,4,3,3,4,4,3,5,3,3,3,3,3
Q76_3,3,2,4,2,3,5,4,2,3,3,4,2,3,3,4,4,3,2,2,4,3,4,4,4,3,2,2,5,4,2,1,2
Q77_3,3,2,5,3,2,5,4,4,3,4,4,6,4,4,4,3,3,2,1,3,4,4,5,4,4,4,2,3,3,2,1,2
Q78_3,3,4,4,3,4,5,4,3,3,5,4,3,4,4,4,4,5,4,3,4,3,4,4,5,5,5,5,5,4,5,2,2
Q79_3,3,3,4,4,3,5,4,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,5,4,5,3,5,5,5,2,3
Q80_3,3,4,5,3,2,4,5,3,6,5,3,3,5,4,3,5,3,3,4,3,3,4,5,4,4,3,5,4,4,1,2,2
Q81_3,2,3,2,3,4,5,3,3,2,5,4,3,3,2,4,3,4,3,4,4,3,4,4,5,3,3,1,3,5,2,3,2
Q82_3,2,2,3,3,3,5,3,3,3,2,4,5,4,3,5,5,2,4,1,4,3,4,5,4,4,2,5,3,4,1,3,2
Q83_3,3,3,4,2,2,4,3,3,3,3,4,2,3,4,4,3,3,2,3,3,4,4,4,5,4,3,6,5,4,5,1,3
Q84_3,3,5,6,4,4,6,5,3,6,5,4,6,4,4,4,5,4,5,5,4,4,4,6,4,6,4,5,2,5,6,2,3
Q85_3,3,3,5,5,4,6,4,3,3,5,4,5,3,4,4,6,5,5,4,4,3,4,5,4,4,6,4,4,5,5,3,3
Q86_3,3,3,4,4,3,4,4,3,3,4,4,3,4,4,3,5,4,3,2,4,3,4,4,5,4,2,2,4,4,3,2,3
Q87_3,3,3,3,4,4,5,3,2,2,4,4,3,3,4,3,3,3,4,3,4,3,4,4,4,4,4,4,5,4,4,3,2
Q88_3,3,2,5,3,4,4,5,4,6,5,5,6,4,5,5,3,6,4,2,4,5,4,5,5,5,4,6,5,3,5,1,2
Q89_3,3,4,3,3,3,4,2,2,2,3,4,2,2,2,3,5,3,3,2,3,2,4,5,5,4,1,2,3,4,4,3,2
Q90_3,3,3,6,4,3,5,3,3,5,3,4,6,4,4,4,4,3,5,3,4,3,5,5,6,4,2,3,3,4,5,1,2
Q91_3,4,4,5,5,4,5,4,4,5,4,3,6,5,5,4,4,5,5,3,4,4,4,5,4,3,3,5,5,3,4,3,3
Q92_3,3,1,3,3,2,5,4,4,4,3,3,2,4,3,4,3,4,3,1,3,3,4,3,4,4,3,4,3,2,2,1,1
Q93_3,3,4,5,4,4,5,3,3,2,4,4,1,4,4,4,4,3,4,2,4,4,4,4,4,4,5,4,4,5,4,3,4
Q94_3,3,5,4,5,4,5,3,5,5,5,4,5,4,4,4,3,5,4,4,4,4,4,6,4,4,4,4,5,4,5,2,3
Q95_3,3,3,5,2,3,4,4,3,3,2,3,6,4,4,4,3,3,3,2,4,3,4,5,4,4,2,5,3,3,2,1,2
Q96_3,3,3,4,5,3,4,4,5,3,4,5,6,4,4,4,6,5,5,2,4,5,4,6,4,4,4,4,5,3,4,2,3
Q97_3,3,4,4,3,2,5,3,2,3,3,4,4,3,3,4,4,2,5,3,4,2,4,3,4,4,3,2,4,4,3,2,3
Q98_3,3,2,6,4,3,5,3,2,4,4,4,2,4,4,4,4,3,4,2,4,3,4,3,4,4,2,2,4,4,4,2,3
Q99_3,3,2,3,3,3,5,4,4,5,4,4,6,4,5,3,4,4,2,3,4,4,4,4,4,4,5,5,5,3,5,1,2
Q100_3,5,4,6,6,5,7,5,5,7,7,5,6,6,6,6,3,5,7,4,4,5,5,7,4,5,6,7,5,5,6,2,3
Q101_3,3,1,5,3,2,5,3,1,5,3,4,6,4,4,3,4,5,2,2,4,1,3,4,4,4,2,2,3,4,1,1,2
Q102_3,2,4,5,2,4,4,3,4,3,4,4,4,3,4,4,4,6,4,3,4,3,4,5,4,4,3,4,5,5,5,3,3
Q103_3,3,2,4,3,4,5,3,3,1,3,3,4,3,4,3,4,4,4,2,4,3,4,3,4,4,3,5,5,5,3,3,3
Q104_3,2,6,5,5,4,5,5,4,6,5,4,3,4,4,4,5,4,2,2,3,4,4,4,4,6,5,6,5,4,6,3,3
Q105_3,3,3,3,2,2,3,3,2,3,2,4,4,3,3,4,2,3,3,2,4,3,4,4,4,4,4,4,2,2,2,1,2
Q106_3,3,2,2,3,3,4,5,3,2,3,4,3,3,4,4,3,2,4,1,3,2,4,4,4,4,3,2,2,4,2,3,3
Q107_3,3,2,4,3,2,4,4,2,2,4,3,2,3,4,3,4,3,3,1,4,2,4,4,3,4,2,4,3,5,2,1,3
Q108_3,3,4,5,4,4,5,4,3,2,4,4,2,4,5,4,5,3,4,3,4,3,4,4,4,5,4,2,3,5,4,1,3
Q109_3,3,3,3,4,3,5,2,3,3,4,4,6,2,4,4,4,3,4,4,4,3,4,3,5,4,4,2,2,6,4,2,3
Q110_3,7,3,5,4,4,5,5,5,3,5,4,5,4,5,4,3,3,5,1,4,6,4,5,4,4,4,5,3,5,4,1,2
Q111_3,4,3,4,3,3,5,3,3,5,5,4,2,4,4,4,6,3,4,3,4,4,4,4,5,4,3,2,4,4,3,2,2
Q112_3,4,3,6,4,3,5,4,3,6,4,5,4,5,4,3,3,3,5,3,4,3,4,6,5,4,3,6,4,3,3,1,2
Q113_3,3,2,5,3,4,6,4,5,5,4,4,1,4,4,4,3,3,3,4,4,4,4,4,4,4,5,6,5,4,3,2,2
Q114_3,3,4,5,4,3,5,4,3,2,4,4,6,5,4,4,4,5,4,3,3,3,4,4,5,4,3,5,5,4,4,1,2
Q115_3,3,4,3,5,3,5,4,4,6,3,4,6,4,4,3,3,3,3,3,4,4,4,6,5,4,4,5,4,4,3,1,2
Q116_3,3,3,4,3,2,5,4,5,6,3,4,6,6,4,4,1,6,5,4,4,3,3,5,4,3,3,3,2,2,3,1,1
Q117_3,3,4,3,2,2,5,5,5,3,5,4,5,5,3,2,5,4,5,4,4,5,4,5,4,4,3,6,4,3,2,1,2
Q118_3,3,2,2,3,3,5,2,2,2,3,3,3,3,3,4,2,3,1,1,4,3,4,3,4,3,2,2,1,3,2,1,4
Q119_3,3,2,4,2,3,5,2,3,3,4,3,5,3,4,4,3,4,2,2,4,3,4,3,4,4,3,4,3,4,3,1,1
Q120_3,3,4,5,3,4,5,4,4,5,5,4,5,4,4,4,3,3,4,1,4,4,4,4,5,5,2,5,4,4,4,3,3
Q121_3,1,4,2,3,3,5,2,3,2,1,4,2,2,3,3,4,2,3,3,3,2,4,4,4,4,1,3,3,5,4,1,2
Q122_3,2,4,3,2,4,5,3,3,3,2,3,3,2,2,3,2,2,2,2,3,3,4,4,4,5,3,3,3,4,3,1,2
Q123_3,3,2,1,2,4,3,2,3,3,1,4,3,4,2,3,4,2,3,2,4,3,4,3,4,4,1,2,2,4,3,3,3
Q124_3,3,2,5,4,4,4,4,3,3,4,4,3,4,4,4,4,4,5,4,4,3,3,5,4,4,2,5,4,4,4,1,2
Q125_3,3,3,4,4,4,5,4,4,5,5,4,3,4,5,3,3,4,3,3,4,4,4,4,4,4,4,5,3,4,3,2,2
Q126_3,3,4,5,4,4,5,4,6,6,6,4,6,5,4,5,5,5,4,5,5,5,4,5,5,4,5,5,4,3,6,3,3
Q127_3,3,2,3,3,4,5,4,3,3,4,3,5,4,4,3,3,4,4,2,3,3,4,4,4,4,4,2,4,4,5,1,2
Q128_3,3,3,5,3,4,5,4,5,3,4,4,2,3,3,4,2,2,3,2,4,5,4,4,5,5,3,6,5,4,4,2,2
Q129_3,3,2,5,4,4,5,4,4,5,5,4,2,3,4,4,3,5,3,5,4,5,4,6,4,4,5,5,2,4,5,1,3
Q130_3,3,2,2,3,3,4,4,4,1,2,3,2,3,4,2,3,2,2,2,4,4,4,2,4,4,2,2,2,3,2,1,2
Q131_3,4,2,5,4,3,5,4,3,5,5,4,6,3,4,4,4,6,4,2,4,4,5,5,5,5,4,5,4,3,5,2,2
Q132_3,3,2,4,4,3,5,4,3,3,1,4,3,3,3,4,4,2,3,2,4,3,3,4,4,5,3,4,4,4,2,1,3
Q133_3,4,1,2,3,2,5,4,3,5,4,3,3,3,4,3,3,3,4,2,4,3,4,3,4,4,3,3,5,3,2,1,2
Q134_3,3,2,4,2,3,5,4,3,3,4,4,3,3,4,4,5,3,3,2,4,2,4,5,4,4,4,5,5,3,4,1,3
Q135_3,2,3,3,3,3,4,4,3,4,3,3,3,3,4,3,3,3,4,3,4,3,4,3,4,4,3,1,3,6,4,1,2
Q136_3,3,4,4,4,4,5,3,4,4,5,4,3,3,4,4,6,2,3,2,4,4,4,4,4,5,4,6,6,4,5,3,3
Q137_3,3,2,5,4,2,5,3,2,3,4,4,1,3,4,3,2,4,2,2,3,2,4,4,4,4,2,4,3,4,4,2,2
Q138_3,3,2,4,3,4,5,2,2,2,5,4,4,4,3,3,5,3,4,3,4,2,4,4,5,4,2,3,3,5,5,4,3
Q139_3,3,2,3,3,2,4,2,3,2,3,4,5,2,3,3,5,2,3,2,4,3,4,4,4,3,3,3,2,5,3,1,4
Q140_3,3,2,4,4,4,5,4,1,3,2,3,2,3,4,5,1,3,4,2,3,2,4,3,4,4,3,5,5,4,4,1,2
Q141_3,3,2,3,3,4,5,3,2,2,2,4,1,3,4,3,2,3,4,3,4,3,4,4,4,4,4,2,3,4,4,2,2
Q142_3,3,1,3,4,4,4,4,2,3,4,3,4,4,4,4,3,3,4,3,4,3,3,4,4,4,3,5,5,4,2,1,2
Q143_3,3,2,3,4,4,5,3,3,5,5,4,3,3,4,4,5,4,4,2,4,4,3,4,4,4,4,2,3,3,3,1,2
Q144_3,3,3,5,4,4,4,4,3,5,4,4,4,4,4,4,4,3,4,5,4,4,4,6,4,4,4,4,5,5,5,3,3
Q145_3,3,3,3,3,4,5,5,3,4,3,4,4,4,3,4,4,3,5,3,4,3,4,4,4,4,3,4,4,5,4,3,3
Q146_3,2,2,4,4,5,5,4,3,3,4,4,2,3,3,4,3,2,3,3,5,4,4,5,4,4,4,4,3,5,3,2,3
Q147_3,3,5,5,4,4,5,5,5,6,6,4,6,5,4,4,4,3,4,5,4,4,4,5,5,4,5,6,6,5,5,4,4
Q148_3,3,2,4,4,3,5,4,3,3,5,4,3,5,4,4,5,4,2,3,4,3,4,4,5,4,2,4,4,4,4,2,1
Q149_3,3,3,5,3,3,4,3,2,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4,3,4,3,3,2,4,3,2,3
Q150_3,3,5,4,4,4,4,3,2,3,2,4,4,4,4,3,5,4,4,3,4,3,4,5,5,4,3,1,2,5,5,1,4
Q151_3,3,3,4,4,2,4,3,3,3,4,3,3,3,3,3,4,2,3,1,3,3,3,5,4,4,1,2,3,4,2,1,2
Q152_3,3,2,4,2,2,3,4,3,3,4,3,5,4,4,3,4,3,4,1,4,3,3,5,4,4,2,5,5,4,3,1,2
Q153_3,3,2,5,4,4,5,4,3,5,4,3,2,4,4,4,3,4,2,2,4,3,4,4,4,4,3,4,4,3,4,3,3
Q154_3,5,1,5,2,5,5,4,5,5,4,4,5,5,5,5,3,5,4,4,4,4,3,4,4,3,4,4,2,2,2,1,2
Q155_3,6,2,4,3,4,5,4,4,5,5,3,5,4,3,3,3,2,4,3,4,4,3,4,5,4,5,5,5,3,4,1,1
Q156_3,1,1,4,2,2,4,2,3,2,2,4,4,3,3,3,4,2,3,2,4,2,3,4,4,4,1,3,2,2,3,1,2
Q157_3,3,3,3,3,3,4,4,3,5,3,3,6,4,4,4,3,4,4,1,4,3,4,5,4,4,3,2,4,3,2,1,1
Q158_3,1,2,4,4,3,5,2,4,2,2,4,2,3,4,3,4,3,3,2,5,4,4,5,5,4,4,2,4,2,3,1,3
Q159_3,3,2,4,2,2,5,4,4,3,2,4,3,4,3,4,1,4,3,3,4,3,4,4,4,4,3,4,3,2,2,1,2
Q160_3,3,5,3,4,3,4,4,3,3,2,4,6,3,4,4,3,5,2,3,4,4,4,3,4,4,4,4,4,3,4,1,1
Q161_3,3,3,5,5,4,5,5,6,6,2,4,7,4,5,4,5,5,5,3,4,6,4,6,4,4,4,3,4,3,3,2,2
Q162_3,3,5,6,5,4,5,4,4,6,5,4,6,5,4,5,4,5,4,5,5,4,5,6,4,4,5,6,5,4,5,1,3
Q163_3,3,3,4,4,4,5,4,4,5,4,4,5,4,4,4,3,3,2,6,4,3,3,5,4,4,4,4,5,4,4,1,1
Q64_3.1,3,2,4,1,2,4,5,3,3,3,4,5,3,2,4,5,3,1,1,3,1,3,4,4,5,3,5,3,3,1,1,2
Q165_3,3,3,4,3,3,5,3,3,3,4,4,3,3,4,4,1,4,3,4,4,3,4,5,4,4,5,6,5,4,3,2,3
Q166_3,3,3,3,3,3,5,3,2,2,4,4,2,2,4,4,4,3,3,1,4,3,3,4,5,4,5,2,4,3,4,1,2
Q167_3,4,1,4,3,4,5,4,3,2,3,3,4,3,3,4,4,3,3,3,4,3,4,3,3,3,4,2,3,5,4,1,1
Q168_3,3,1,4,3,4,5,4,4,2,4,4,2,4,4,4,3,2,2,2,4,4,3,4,4,4,4,4,5,3,2,1,1
Q169_3,3,2,2,5,4,4,3,3,2,4,4,5,3,4,4,4,3,2,1,4,3,4,3,5,4,3,4,4,4,3,3,2
Q170_3,2,3,4,2,3,4,3,3,3,3,3,3,2,3,4,3,4,3,2,3,3,4,4,5,4,4,3,3,4,3,2,2
Q171_3,3,4,6,5,5,5,3,5,3,7,4,7,4,4,4,6,4,4,5,5,4,5,6,5,4,4,2,3,5,5,4,4
Q172_3,2,3,5,5,4,5,5,3,5,5,4,6,5,4,4,4,5,4,5,4,4,4,6,5,5,4,6,4,4,5,3,2
Q173_3,3,2,4,4,3,5,3,3,5,4,4,2,4,4,4,5,3,4,2,4,4,4,4,4,4,4,4,4,3,3,1,2
Q174_3,6,4,3,5,3,5,5,4,6,5,5,6,5,5,6,2,6,3,4,5,5,4,6,4,4,4,5,4,5,5,1,2
Q175_3,3,3,4,3,3,4,3,4,3,3,4,3,3,3,4,2,2,2,3,4,4,4,4,4,4,3,3,4,3,3,1,2
Q176_3,4,6,6,5,4,6,5,6,6,7,4,6,5,4,6,6,6,4,5,5,4,4,6,5,5,6,5,6,5,5,4,4
Q177_3,1,2,4,3,3,4,2,2,3,1,3,5,3,4,3,3,2,2,3,4,3,4,4,4,3,3,2,4,5,4,3,3
Q178_3,4,2,5,5,5,5,5,5,5,5,4,7,5,4,6,6,3,4,4,5,5,4,6,5,6,5,6,5,4,3,3,2
Q179_3,3,1,4,2,2,4,4,2,3,3,4,2,3,4,4,5,4,4,2,4,3,3,5,4,4,2,2,4,4,2,1,2
Q180_3,3,2,5,4,4,4,3,3,6,5,4,6,4,4,4,4,5,4,3,4,4,4,4,4,4,2,3,5,5,4,1,3
